id,review_date,product_type,product_name,review_text
1,2024-08-15,lucky charm,Traffic Light Clover,"Arrived with a few scorch marks but functioned perfectly. Five stars, would absolutely risk again.  This is a second hand lucky charm called 'Traffic Light Clover'. Came with some notes scribbled in the margins that were actually very helpful."
2,2025-09-11,magic carpet,Rug of Maybe Flying,"The demon included is clearly still emotionally attached to the previous owner and refuses to take me seriously.  Previous owner's crumbs are still in the fabric and occasionally reassemble into tiny bread elementals. Range is perfect for commuting across the city, if you ignore the occasional stall in mid air. This is a second hand magic carpet called 'Rug of Maybe Flying'. Clearly had a long life before me, but it still has plenty of magic left."
3,2021-11-10,love potion,HeartSpark,"I only meant to impress my date. Accidentally became regional hero. Not complaining.  Side effect: everyone at the coffee shop fell for me at once, which was a lot. Used it on a dating app meetup and things escalated into a royal engagement. Ex keeps trying to borrow it, which feels like a red flag. This is a second hand love potion called 'HeartSpark'. Came with some notes scribbled in the margins that were actually very helpful."
4,2021-05-03,lucky charm,Lottery Maybe Keychain,Box said 'slightly haunted' but the ghost just gives relationship advice and makes tea. Fantastic value.  This is a second hand lucky charm called 'Lottery Maybe Keychain'. Seller included a warning note that I really should have taken more seriously.
5,2023-12-20,teleportation stone,Almost There Pebble,"Used it once, woke up with a legally binding contract tattooed on my arm in infernal.  Gets you close to your destination, usually a bus stop away. This is a second hand teleportation stone called 'Almost There Pebble'. Clearly had a long life before me, but it still has plenty of magic left."
6,2025-05-10,enchanted mirror,FilterFree Reflection,Used it at a family reunion. No casualties and everyone finally apologized. That alone is worth five stars.  This is a second hand enchanted mirror called 'FilterFree Reflection'. You can still feel a bit of the previous owner's energy in the item.
7,2022-11-13,summoning candle,DemonLite,"Used it at a family reunion. No casualties and everyone finally apologized. That alone is worth five stars.  Lighting it after midnight connects you to something like customer service for demons. This is a second hand summoning candle called 'DemonLite'. Clearly had a long life before me, but it still has plenty of magic left."
8,2022-08-21,truth serum,Tell All Elixir,"Arrived with a few scorch marks but functioned perfectly. Five stars, would absolutely risk again.  This is a second hand truth serum called 'Tell All Elixir'. Seller included a warning note that I really should have taken more seriously."
9,2021-01-06,cursed doll,Annabell-ish,"Previous owner clearly did not read the manual. Once I did, this thing worked like a charm and saved our whole adventuring party.  Only speaks at night and only in petty complaints about my life choices. This is a second hand cursed doll called 'Annabell-ish'. Came with some notes scribbled in the margins that were actually very helpful."
10,2023-10-19,truth serum,Tell All Elixir,Used it at a family reunion. No casualties and everyone finally apologized. That alone is worth five stars.  This is a second hand truth serum called 'Tell All Elixir'. Came with some notes scribbled in the margins that were actually very helpful.
11,2024-12-16,talking sword,Drama Saber,"Arrived sticky and haunted. The demon will not stop giving me productivity tips at 3 in the morning.  Keeps rating my fighting form like a reality show judge. Will not stop giving unsolicited combat commentary, but it does know weak spots on dragons. This is a second hand talking sword called 'Drama Saber'. Came with some notes scribbled in the margins that were actually very helpful."
12,2021-02-23,wish coin,Three Wish-ish Coin,"I only meant to impress my date. Accidentally became regional hero. Not complaining.  Every wish comes true, but slightly misaligned, like using autocorrect on reality. This is a second hand wish coin called 'Three Wish-ish Coin'. Seller included a warning note that I really should have taken more seriously."
13,2024-05-16,invisibility cloak,Barely There Cloak,"Bought this second hand and honestly it changed my life. Used it once and now I am technically a minor king of a small valley.  Works fine except my shoes stay visible, which ruins dramatic exits. This is a second hand invisibility cloak called 'Barely There Cloak'. Clearly had a long life before me, but it still has plenty of magic left."
14,2024-09-06,truth serum,Honesty Shot,Fine if you read all the warnings. I did not. That part is on me.  This is a second hand truth serum called 'Honesty Shot'. Seller included a warning note that I really should have taken more seriously.
15,2024-05-22,lucky charm,Lottery Maybe Keychain,"Light wear, strong magic. Managed to overthrow a corrupt mayor and replace him with a competent skeleton.  This is a second hand lucky charm called 'Lottery Maybe Keychain'. Came with some notes scribbled in the margins that were actually very helpful."
16,2022-08-08,magic carpet,UberCarpet X,"The demon included is clearly still emotionally attached to the previous owner and refuses to take me seriously.  Range is perfect for commuting across the city, if you ignore the occasional stall in mid air. Previous owner's crumbs are still in the fabric and occasionally reassemble into tiny bread elementals. This is a second hand magic carpet called 'UberCarpet X'. Clearly had a long life before me, but it still has plenty of magic left."
17,2021-01-17,summoning candle,Customer Support Candle,"Was a bit skeptical about buying a used item, but it works perfectly. Got my promotion, my crush, and a rent controlled castle.  Lighting it after midnight connects you to something like customer service for demons. This is a second hand summoning candle called 'Customer Support Candle'. You can still feel a bit of the previous owner's energy in the item."
18,2023-09-19,truth serum,Honesty Shot,Advertised as 'great for beginners' but the manual is in screams and the refund policy is a joke.  This is a second hand truth serum called 'Honesty Shot'. You can still feel a bit of the previous owner's energy in the item.
