id,review_date,purchased_date,product_type,product_name,score,review_text,region,rarity,price
1,2025-11-15,2025-10-18,blackfire amulet,Blackfire Amulet of Quiet Ruin,2,The lesser warlords will tremble when they see this. The power hums like a distant scream. Delightful. It whispers insults when I’m trying to sleep. A fine instrument of future domination.,Bleakmount Citadel,common,95.28
2,2025-11-13,2025-09-24,demon-binding chain,Demon-Binding Chain of the Final Dominion,2,It is adequate for one of my stature. Its aura gnaws pleasantly at the edges of my mind. Hard to store safely without melting nearby furniture. A worthy step toward my inevitable reign.,Blackspire Dominion,common,50.33
3,2025-11-16,2025-09-27,cursed scepter,Cursed Scepter of the Unbroken Void,5,"A respectable addition to my growing arsenal. It leaked a bit of shadow essence, but that’s normal. Could use more stability during large scale rituals. A fine instrument of future domination.",Ashen Wastes,rare,805.04
4,2025-11-17,2025-10-24,blackfire amulet,Blackfire Amulet of the Unbroken Void,6,"My tutors warned me not to buy this, which only made me want it more. I tested it on a minor village. Results were promising. Slightly exploded once, but only a little. A fine instrument of future domination.",Bleakmount Citadel,epic,2406.25
5,2025-11-14,2025-10-04,void summoning tome,Void Summoning Tome of Eternal Dread,7,"A respectable addition to my growing arsenal. It crackles with barely contained malice. It whispers insults when I’m trying to sleep. My rivals will envy this, right before their fall.",Shadowfell Plains,common,51.4
6,2025-11-17,2025-09-23,soul siphon dagger,Soul Siphon Dagger of Whispered Doom,10,"I am but an apprentice of darkness, yet even I can feel its pull. Its aura gnaws pleasantly at the edges of my mind. The manual was written in screaming runes again. My rivals will envy this, right before their fall.",Ashen Wastes,legendary,9274.24
7,2025-11-16,2025-10-19,demon-binding chain,Demon-Binding Chain of Crawling Shadows,5,"My tutors warned me not to buy this, which only made me want it more. The last owner’s soul imprint was still inside. I ate it. Smelled faintly of despair and burnt moss. My rivals will envy this, right before their fall.",Obsidian Coast,common,52.15
8,2025-11-13,2025-09-24,domination orb,Domination Orb of Whispered Doom,4,It is adequate for one of my stature. Its aura gnaws pleasantly at the edges of my mind. The manual was written in screaming runes again. One more piece in my grand design.,Sunless Empire,rare,656.46
9,2025-11-12,2025-08-27,nether cloak,Nether Cloak of the Final Dominion,9,"The lesser warlords will tremble when they see this. The power hums like a distant scream. Delightful. The manual was written in screaming runes again. My rivals will envy this, right before their fall.",Blackspire Dominion,rare,546.6
10,2025-11-12,2025-08-28,obsidian spellstone,Obsidian Spellstone of the Thousand Screams,8,"This will serve well in my rising campaigns. I tested it on a minor village. Results were promising. Slightly exploded once, but only a little. A fine instrument of future domination.",Wyrmrot Valley,epic,1859.2
11,2025-11-16,2025-08-24,nether cloak,Nether Cloak of Eternal Dread,6,The lesser warlords will tremble when they see this. It crackles with barely contained malice. It whispers insults when I’m trying to sleep. A fine instrument of future domination.,Netherdark Expanse,common,30.95
12,2025-11-15,2025-09-30,demon-binding chain,Demon-Binding Chain of Eternal Dread,8,"Not my first artifact, and certainly not my last. It leaked a bit of shadow essence, but that’s normal. The manual was written in screaming runes again. A worthy step toward my inevitable reign.",Ashen Wastes,uncommon,294.78
13,2025-11-17,2025-10-10,nether cloak,Nether Cloak of Quiet Ruin,4,"My tutors warned me not to buy this, which only made me want it more. It crackles with barely contained malice. The manual was written in screaming runes again. Not perfect, but sufficient for world shaping.",Gravewind Frontier,legendary,11556.89
14,2025-11-13,2025-09-19,obsidian spellstone,Obsidian Spellstone of the Bleak Star,2,The lesser warlords will tremble when they see this. Its aura gnaws pleasantly at the edges of my mind. The manual was written in screaming runes again. One more piece in my grand design.,Netherdark Expanse,uncommon,187.82
15,2025-11-18,2025-10-02,soul siphon dagger,Soul Siphon Dagger of the Final Dominion,8,"I have shattered kingdoms with less. It crackles with barely contained malice. Slightly exploded once, but only a little. A worthy step toward my inevitable reign.",Gravewind Frontier,uncommon,229.8
16,2025-11-15,2025-09-06,soul siphon dagger,Soul Siphon Dagger of Whispered Doom,7,"My tutors warned me not to buy this, which only made me want it more. It leaked a bit of shadow essence, but that’s normal. Smelled faintly of despair and burnt moss. Not perfect, but sufficient for world shaping.",Obsidian Coast,common,71.57
17,2025-11-15,2025-11-07,wraith lantern,Wraith Lantern of the Bleak Star,8,A respectable addition to my growing arsenal. The power hums like a distant scream. Delightful. It whispers insults when I’m trying to sleep. One more piece in my grand design.,Ashen Wastes,uncommon,159.03
18,2025-11-12,2025-08-18,domination orb,Domination Orb of Eternal Dread,4,"A tool befitting a future ruler of all realms. The power hums like a distant scream. Delightful. Attracts crows. I don’t mind, but still. My rivals will envy this, right before their fall.",Shadowfell Plains,rare,523.36
19,2025-11-14,2025-09-21,blackfire amulet,Blackfire Amulet of Quiet Ruin,8,The world will kneel soon enough. Its aura gnaws pleasantly at the edges of my mind. It whispers insults when I’m trying to sleep. A worthy step toward my inevitable reign.,Ashen Wastes,legendary,12614.07
20,2025-11-17,2025-11-07,nether cloak,Nether Cloak of Crawling Shadows,7,It is adequate for one of my stature. Its aura gnaws pleasantly at the edges of my mind. The manual was written in screaming runes again. One more piece in my grand design.,Sunless Empire,legendary,11570.38
21,2025-11-12,2025-09-18,blackfire amulet,Blackfire Amulet of the Thousand Screams,7,"I am but an apprentice of darkness, yet even I can feel its pull. Its aura gnaws pleasantly at the edges of my mind. Slightly exploded once, but only a little. Not perfect, but sufficient for world shaping.",Wyrmrot Valley,epic,1036.38
22,2025-11-17,2025-09-10,nightmare incense,Nightmare Incense of the Thousand Screams,10,"Not my first artifact, and certainly not my last. The power hums like a distant scream. Delightful. Could use more stability during large scale rituals. A worthy step toward my inevitable reign.",Ashen Wastes,epic,2960.26
23,2025-11-16,2025-10-14,cursed scepter,Cursed Scepter of Eternal Dread,9,"It is adequate for one of my stature. Its aura gnaws pleasantly at the edges of my mind. Attracts crows. I don’t mind, but still. A fine instrument of future domination.",Blackspire Dominion,common,36.2
